council_id,council_name,tree_loss_rating,tree_loss_percent,is_tree_loss,is_climate,is_bushfire,bushfire_count,tree_loss_url,carbon_url,biomass_url,bushfire_url
1,Bass Coast Shire,64,3.7,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/5""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/5""></iframe>",This area does not face this threat
2,Moira Shire,60,4,0,1,1,31,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/48""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/48""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/48?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
3,Loddon Shire,75,1.9,0,1,1,15,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/38""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/38""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/38?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
4,Hepburn Shire,38,8.1,1,1,1,22,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/29?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/29""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/29""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/29?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
5,Mitchell Shire,25,12,1,0,1,50,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/47?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>",This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/47?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
6,Horsham Rural City,11,30,1,1,1,40,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/32?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/32""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/32""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/32?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
7,Bayside City,20,15,1,1,0,0,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/7?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/7""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/7""></iframe>",This area does not face this threat
8,Greater Dandenong City,15,17,1,1,0,0,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/26?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/26""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/26""></iframe>",This area does not face this threat
9,Whitehorse City,55,4.4,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/74""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/74""></iframe>",This area does not face this threat
10,Mildura Rural City,1,81,1,1,1,226,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/46?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/46""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/46""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/46?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
